source,target
Cifangas ko talo'an ni akong iso.,你阿公的草屋有苦楝樹。
Pa'alanengen a misafa^eloh i terong no fonon ita.,請在我們的水田中央做新的田埂。
Cima no mita ko mi'edefay to paenan no soko i sarikoran no loma'.,我們當中有誰去家的後院倉庫關門。
Tada o mirafasay kina wawa a cay pimelang a mikodasing.,這個孩子真的拔花生不認真工作故意留下剩餘的。
Makapah ko fodoy no hongti.,皇帝的衣服很漂亮。
Maserser to ko sera no pipaloma'an.,要蓋房子的地基已做好下沉的工程了。
Adihay ko nitadimtiman ni ina.,媽媽採的兔兒菜很多。
Matatodong kiso cifodoy toraan.,你很適合穿那件衣服。
O solippa ko matafokoday ni kaka.,哥哥撒網網到的是拖鞋。
O ca'ca' no mita kinian.,這是我們的竹蓆。
Papiceli'en a mi'owaw ko kakeridan no kapah!,請青年領導階層帶領青年呼喊！
Noya Pangcah ko sera.,土地是屬那個原住民的。
Nawiro mari'ang kiso to tamdaw.,你為什麼對人很壞？
Karakalaw kina mato'asay.,這老人家濃眉。
O kayang to no tireng ni akong ako.,我阿公的身體已經成駝背了。
Mi'olic ci ina to patay no fa'inay nira.,媽媽哭吟追思她的先生的死去。
Pakacitingen ko pinanam to codad no holam.,漢語要從字典來學習。
Ci ina no mako ko mi'acaway to nanom nani nemnem.,是我母親從那泉水舀水的。
Rasras sato i lalan ko falwac ni kaka.,在路上姐姐的米粒撒落一地。
Kasangasawen no mita ko roma a finacadan.,我們把別的族群當成家族。
Milatlat to pala cafaki ako ano cila.,我的叔叔們明天要去田裡丈量。
Tayra i lotok ko mato'asay a mi'oway.,老人家去山上採藤。
O saka'acis no pinalomaloma ko kedal no romi'ad.,乾旱的天氣是各樣作物枯萎的原因。
Na'on hato ko rakat no namo o mato'asay a mafelec.,長輩回去就小心了。
O ciciw ho ko nirofoan niyam.,我們關起來的還是小豬。
O fawofawoan kina loma'.,這個家很多蟲。
Forifor san koya malasangay to pikayki niyam.,那位酒鬼擾亂我們的會議。
Kafokilan ko teker i lotok.,在山上的陷阱器具無法辨認。
O maparatohay to mama no kapah kita.,我們己經被青年的領袖告知了。
Talacekaceka to ko rakat no malasangay a tamdaw.,酒醉的人走路走到
Micowat nani niyaro' a talapala ko pipakoyasi no mako.,我撒肥料從部落擴展
Macowaco' ko nanom i fanaw no mita.,我們池塘裡的水被攪動。
O mipatokoay to paliding kako.,是我使牛車停下來。
"O katalawan no wawa i,o pikereng no romi'ad.",孩子最怕的是天際打雷。
Hadefeken no kapah ko niyaro no mari'angay a tamdaw.,青年將壞人的部落消滅掉。
Ocong ko nani'ol i lakelal.,河邊有很多蝌蚪。
Saroroken no Kawas kita o tamdaw itini i hekal.,上帝使我們人在世上分別有世代。
Padangen no mako kiso.,我來幫你。
O marimooday a fokeloh ko han no mako a micakay.,我要買那種整塊的石頭。
O nikar nira mato'asay a talaomah a mikaraheker to nakangtoan.,那個老人家黎明時刻就上田去接續他未完成的工作。
Colo' han no kapah ko sapisaloma' a kilang.,青年搬運建材。
Paangcohay to fali no niyaro' ko onsēng.,温泉使部落的空氣彌漫尿臭味。
Adihay ko 'adimaceng i lotok niyam.,我們山上有很多無患子。
Satarawadawen no mita a micoka.,我們要畫的像河川一樣。
Mikilidong kako i laeno no kilang.,我在樹下乘涼。
O fadic aca ko ma'araway iso saw?,你只看表面嗎？
Makawaliay a lalan ko rakaten.,從東邊的路行走。
Matomes no cacopi ko tafalahan to dateng.,廚餘桶滿是蛆蟲。
"Adihay to ko lifot no mako, aka to ka kilimen kao.",我的麻煩夠多了，請不要再找我了。
Ramet han ko kamay no mako a macokacok i lotok.,我們爬山時將我的手緊握著。
Malasofitay kako ano roma a miheca.,明年我要當軍人。
Eminen a koma'en koya hemay.,請將那飯全部吃光光。
"Mifaca' kiso to fodoy, misakaranam kako.",你洗衣服，我做早餐。
"Aka pisakaliki a komaen, ma'iyaka!",吃東西不可過快，小心會噎住。
O cokacok ita a mi'adop.,我們打獵都向上爬山了。
Pacacoroken ko sito iso a mi'asip.,叫你的學生輪流唸課文。
Manikaw to kakaenen koya parod.,那個家庭很缺乏食物。
Tata'ang ko 'adiping no tangalawan.,公雞的雞冠很大。
Ocong ko rao' niyam i lotok.,我們的山上有很多無患子樹。
Maro' kako i la'ed namo.,我坐在你們之間。
O talotalodan ko omah naira.,他們的田地長滿芒草。
Masamaan ko 'orip no Pangcah  toya makowan no Ripon?,日本統治時期阿美族的生活是如何呢？
Hedot han no kikay ko tatiihay a fali a pasadak.,機器吸出不好的空氣。
O misinafelay kami a macokacok ilotok.,我們去上山是採菜的。
O mikiskisay kako to para' no dangah ita.,我在刮我們炒菜鍋的鍋底。
O tadakacalowayan ko kingko a micaliw to pida.,在銀行借貸非常方便。
Tatayra kami i Taypak anocila.,我們明天要去台北。
Cayaten ko halafak a mafoti'!,你們要共用一條毛毯睡覺！
Dimata'en ako koni a capox.,我肩挑著秧苗。
O nitaliyokan no mako ko niyaro' naira.,我已繞行了他們的部落。
O paci^ciay ko lowad no mita a talalotok anini.,我們今天勉強上山。
"Sepat ho ko mihecaan nina wawa, macedem a caciyaw.",這小孩才四歲講話伶牙俐齒。
"O maolahay a maemin ko tamdaw to nini a ""emed"" hananay a codad.",「便宜」這個字所有的人都很喜歡。
Terik saan nani tini a tangasa i papotal ko payso ako.,我的錢從這裡彈落到外面。
"Kakoy han kora fakeloh i, saheto o kakonah i laeno.",一抬起那石頭，底下全
Misaloma' ko fakifakian i tatihi no loma' sakafiyaw niyam.,叔叔伯伯們家隔壁鄰居蓋房子。
Maolah kako to kohecalay a cengel.,我喜歡白顏色。
Malenoay ko riyar to kafaliyosan.,颱風時海水會暴漲。
Mi'atolay kami to fokeloh i copo ano dafak.,明天早上我們的工作是在河床堆疊石頭。
Hacikay ci Mayaw yo masakapah ho.,Mayaw年輕的時候跑得很快。
Makahi kiso to ninian a demak?,這件事你同意嗎？
O papana'en no mita kira makimolmolay a tipelok.,那個圓圓紙張是我
O nipacamolan to 'afih a fonga ko sapakaen no mako to foting i fanaw.,我用摻合糠粉的番薯來養池塘的魚。
Tata'ang ko soni no kereng.,雷聲很大。
"Milmil han nira ko alofo nira i, ira to a makeda kora payso.",他仔細一摸口袋，錢原來在口袋。
Caay ka awa ko fita'ol ako to sakaranam.,我的早餐總是有蛋。
Matoposi ko nika kahemaw no tiring.,身體輕巧如貓。
Fohad sa ko 'ayam a maefer to ngiha' no kowang.,鳥被槍聲嚇得鳥獸散。
Tomayi' kako i kalahokan.,中午時我有大便。
Mi'alapit kako to sinafel i cifar.,我用筷子挾盤子的菜。
O tata'angay a tarawadaw ko Siokolan a tarawadaw.,秀姑巒溪是很大的河川。
Haliki ko rakat noni tamdaw.,這個人走路很快。
Caay katalaw ko micacescesay a talalotok.,那些抓眼鏡蛇的人不怕上山。
Tanocacopi sato ko tahatiloay a fafoy.,掉入陷阱的山豬已長滿蛆蟲。
I fanaw ko pilalopela'an niyam.,我們在水池撿取水木耳的。
Milimek koya posi i cani'iw no loma'.,那隻貓躲在屋裏死角。
Karatawa ko dipot ni Osay.,Osay的嬰孩很愛笑。
Telien i moco'.,放在牆邊。
Takaw hato no wawa ita a mitodong to fana' ita a miwikwik.,我們的孩子偷偷的學了我們的編織。
Langdaw ko kakarayan i Kalingko.,花蓮的天空很藍。
O telang a maemin ko codad no mako.,我的書全部都是舊的。
"Komaen to pawli, ano makataan.",便秘時，請吃香蕉。
Mifawah ci kaka to fawahan ato sasingaran.,姐姐將門和窗打開。
O marefongay no 'ayam kinana kilang.,這棵樹是被鳥挖洞的。
TalaKalingko kako ano dafak.,明天早上我要去花蓮。
Mikolay ko koko' to panay a komaen.,雞抓稻穀來吃。
Mipaosa ci ina to sakalahok no kaka.,媽媽去送哥哥的午餐。
Enemay ko widi a lomowad kako to dafak.,我早上六點鐘起床。
Papikiskisen kira safa no miso to engaan no sioy.,請讓你的弟弟刮飯鍋的邊緣。
Hatefo san ciira a maepod nani fadahong.,他從屋頂上跳下。
Karapapah kina 'awol.,這個竹子長滿葉子。
"Haperic han ni kaka ko panay i, saka masenat ko kamay nira.",姐姐撥摘穗上的穀粒，所以割傷了自已的手。
"Kelac han ako konga I, saheto o ma'engiday ko laloma'.",我削了地瓜，裏頭都是腐爛的。
Ngingoy han nira ko cofer.,他汗流浹背。
Teratera' san ko remes naingoso' nira.,血從他的鼻子一滴一滴的掉下來。
Mocirid ko pitilid no mako to seking.,我答錯了試題。
Masanoli'ay kami a mikapot to lomaoc no niyaro'.,我們參加部落的集會有一佰人整。
Palosiden ko wawa.,給孩子穿戴豐年祭服飾。
Mi'alotoc ca fayi.,阿姨她們去撿尖尾螺。
Pasengsengan ko pisanga' to lefok i pipasanga'an.,在訂做褲子的地方要訂做要合身。
O komod no niyaro' ciira.,他是部落的頭目。
Mafetas no pacek ko taya no otofay ako.,我摩托車的輪胎被鐵釘刺破。
Cikakohkohay ko loma' ako.,我家有眼鏡蛇。
Karakoto ko caayay pilikot.,不常洗頭的容易長頭蝨。
Papiramoten kako to 'emo i lanseng.,讓我抓取蒸龍的年榚。
Aka ka halafinen ko piesa toni dateng.,這個青菜不要燙太久。
Cifita'olay kina 'ayam.,這隻雞有蛋。
Sietan ko misakacawasay anini a miheca.,今年種西瓜的人有賺。
O mamangitid no waco kira koco no miso.,你的鞋子將要被狗叼。
Cifoladay a dadaya.,有月亮的晚上。
O mamalaama to ko tireng noya fafahiyan.,那位女士即將成為祖母（外婆，奶奶，阿媽）了。
O polol ni akong ako kiraan.,那是我阿公的雞籠。
Maca'it i sa'adifan ko polol to paciricirian ni faki.,叔叔放白耳畫眉鳥的籠子吊掛在前面的走廊。
Tahepoen to pawti ko pirohem to pawli.,用麻袋蓋起來悶熟香蕉。
Macokayay ako ko fokeloh i lalan.,在路上石頭被我踢了。
Malalitomoh kora tatosaay i kayakay.,那兩人在橋上巧遇。
"Fo'enot han ako ko 'opih noni 'ayam i, podac san ko fanoh nira.",我拔這隻雞的毛時連皮也被剝下。
Padeteng aka kasaan kiso a mihifang a matayal.,你工作不要故意休假。
Patongalen to koli koni nanom!,請將這杯水增加一些冰塊！
O mamicafer kako a micakay to paya no silamalay i Fata'an.,我將要在光復順路買火車票。
Paekelen to fakeloh kora nironican a kolang.,用石頭壓那個揉搓好的芥菜。
Alacecacecay kami to nipecihan a epang.,我們一人一塊切開的麵包。
O ci'atangay kira 'afo i talo'an.,工寮裡的灰還有灰燼。
Lomowi' koya mamapacok a fafoy.,那個即將要被宰殺的豬在哭泣。
"Pacarekahen ko karomakatan no mato'asay, ta caay katilo'.",老人家的走道要粗糙一點才不會跌倒。
Koti'en han nima kiso?,誰叫你駡話該呢？
O ecaw a cecay ko epah niyam itiya ho.,我們以前只有甜酒一種酒而已。
Malifawa^ ko fihid niira.,他的甲狀腺腫起來。
O cepi' no koko' ko kaolahan ako a komaen yo kaemang ho.,我小時候喜歡吃雞腿。
Maolah ciira a palada' to pakoyocay.,他喜歡施捨貧窮人。
Matongal to ko fana' no mako.,我增加一些知識了。
Tafa'ang ko laying I kafaliyosan.,颱風時海浪都很大。
Pakacifar ko lafang tayra i Fotod.,遊客搭船去蘭嶼。
I rikor no sinaepahan ocong to ko lawla no mato'asay.,有酒意之後老人家就有多玩笑話。
Ciecaw ci ina no mako i demi'.,我媽媽廚房有糯米酒。
Tala wanan kako a tomireng.,我去右邊站立。
nafoy saho konini a wawa.,這小孩剛剛學會爬行。
O ma'efoay kako to paonol no ina a midipot to safa i Taypak.,我無法勝任媽媽交待我在台北照顧妹妹。
Cietan ko misanga'ay to lonan i Taywan.,在台灣製造船業的很賺錢。
Mapatay to ko waco niyam.,我們的狗死了。
Cikcik han ni ina ko 'adiyam a pacamol to titi.,媽媽切薑絲混進肉裏炒。
Talapicodadan a mililam to codad ko kaka.,哥哥去學校拿書。
O kaka'irayan a nengnengen ko 'onip i fonofononan.,田裡的稻株看起來很可愛。
O ma'opiray ni ina nira ko fokes nora fafahiyan a wawa.,那個女生的頭髮被他的媽媽編成辮子。
Aenem ko paliw.,有六個工作夥伴。
O maan ko sapisakani' nira?,她用什麼製酒？
Sacapa'en a misanga' ko pitelian to ta'alayan a 'awol.,要製成叉枝
O lemed nira konini.,這是他的福氣。
Tata'ang ko pinsyang namo.,你們家的冰箱好大。
"Mifetik ci faki to epah to to'as, ta misatapang a mipakongko i tamiyanan.",舅舅向祖先滴酒敬禮後，才開始講古給我們聽。
Malifawa ko faeng ni Osay.,Osay的兩頰腫脹。
Cecay ho ko tofor ni faki ako i pakolongan.,叔叔的牛舍裡只有一隻小牛。
Makapaso kami a tayra i picodadan to romi'ami'ad.,我們每天搭乘公車去學校。
Micidapay ko lamal a pakailoh to loma'.,火燒家的火是會傳連的。
Damsay ko faloco' noni fafahiyan.,這女孩很溫柔。
Mapela'ay ko ni'acaan ni ina a sinar.,媽媽買的是剖開的西瓜。
Ma'ilol kako to wawa no mako.,我很想念我的小孩。
Misato'eman to laloma' ko pikacedoan.,電影院把屋內弄暗（意即看電影時要把室內弄暗）。
Samangataay ko loma' nira nanipicodadan.,他的家最靠近學校。
Mipitosor ciira a mici'ep to nanom i nemnem.,他在井泉跪起來用嘴巴吸水。
O paposian ni kaka kinian a hako.,這個箱子是哥哥的貓籠。
Panafoyen ni ina ko safa i sera.,媽媽讓妹妹在地上爬行。
O kikay to ko misopericay to panay anini.,現在是用機器來脫縠了。
Karomadiw ko sakatosa a komi!,請第二組唱歌！
I pa'enanay a maca'it ko sacokcok.,鑰匙掛在門上。
"Ciremesay kora foting, caay ho kaecak.",那條魚有血，還没熟。
Miliyas cira to niyaro'.,他離開部落。
Mitangtang ci ina to titi.,媽媽在煮肉。
O ma'olaway ko cironironay a niyaro'.,古老的部落有刺桐。
I cowa kiso mikasoy anini?,你今天在那裡撿木柴？
Macokacokay ko lalan a tayra i niyaro' niyam.,到我們的部落是要向上爬山的。
Cikakonah ko hemay i kaysing.,碗裡的飯有螞蟻。
O maan ko mawa'ilay no miso?,你設陷所獵之物是什麼呢？
Loho han ko tireng a mimomok to dihif.,將身體蹲下鑽進洞穴裡。
Mapa'akiw ciira to adihayay a tayal.,他被委任許多工作而無任
Talaimeng ci Panay a miala to masidayay nira a mifonsiw.,Panay去派出所領取她所遺失的身分證。
Mifaca' ci ina to fodoy i lawac no 'alo.,媽媽在河邊洗衣服。
Lomengaw ko fohid mala'onanip.,乾檳榔果發芽就變成檳榔苗。
Misasinal ca Aki i lakelal.,Aki他們在河床種西瓜。
Cay kaolah ko tamdaw to okos no nimanima.,無論誰大家都不喜歡吹牛的。
Ririd han no safa ako kira paliding no wawa.,我的妹妹拖著小娃娃車走。
Misa'alaneng ca Toray to fonon.,Toray他們設置田埂。
O 'acocol ko nisalamaan niyam yo mamangan ho.,我們小時候玩的是陀螺。
Sapakoyocen ko faloco' no mita a ma'orip.,我們的心要學像貧窮的生活。（意指我們的心要謙卑。）
Cicangaw a maemin ko kapah ato limecedan i kailisinan a masakero.,青年男女豐年祭時都戴著項鍊跳舞。
Cedet han no tayring to faedetay a marad koya kokong a mipasasangi.,警察用燙的鐵來烤問那個強盜。
Maladahetalay ko 'alo'aloan i Kalinko.,花蓮的河川變成平原。
Fangcal a 'arawen ko teker ni Idek.,彩虹看起來很美麗。
Awaay ko widang no maci'emay a tamdaw.,輕視別人的人沒有朋友。
Mi'ocil ko faloco' no finawlan to patay no tomok.,頭目的死讓大眾感到不捨。
Miora^or kita a romakat.,我們要走快一點。
Liwa'ayen nora tamdaw a mipacpac ko wawa nira.,那個人從他小孩的腳一直鞭打。
Cacay moli' ko pida no mako.,我共有一百塊。
Talolong ko limit no kilang.,樹的根都很深。
Pasahetoen kako a mipatakid to nanom.,要連續給我倒水喝。
Iric san ko hecek nina 'adipel.,這籬笆的柱子扭歪了。
